"","id","Sp_no","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"30717",50126,79,41,4,7,145,6,3,-41.06861111,145.1008333,"","LLU","2","TAS","","50km south of Stanley, Trowutta Arch.","Cool temperate rainforest with myrtle beech, Eucalyptus sp, sassafras, manferns, etc.","","","","",25,6,2011,"","",89,"N","N","2","GP","6/7/11","","4","079phn07","","23/8/11","WC","S","","","Seen at several sites throughout the forest.","","","","","",NA,922,"","",0
"58877",1219401,413,34,52,32,116,47,50,-34.87555556,116.7972222,"","AMG","1","WA","","Denmark Shire, Collis Rd, North Hazelvale","Peat swamp and surrounding vegetation, burnt less than 1 year ago of Eucalyptus patens, Taxandria parviceps","soil","","","",7,5,2018,"","",32,"","","","","","","","","","18/7/18","GP","S","","","","","","","","",NA,78,"","",0
"22423",39490,414,36,42,2,147,16,23,-36.70055556,147.2730556,"","DES","3","VIC","","Near Mount Beauty. Mountain Creek Road","","","","","",0,6,2007,"","",1,"N","N","3","GP","13/6/07","0","6","","153","12/11/07","GP","S","","","","","","","","",NA,1237,"","",0
"36140",55025,60,16,53,55,145,41,15,-16.89861111,145.6875,"100","LLU","2","QLD","","Approximately 8km WNW of Cairns, Redlynch, 51 Harvey Road.","Tropical rainforest.","On rotting tree trunk.","","","",29,11,2010,"","",17,"N","N","2","TM","1/11/12","","4","060rpr05","","5/3/13","WC","S","","","","","","","","",NA,1516,"","",0
"15977",31168,333,38,28,0,146,34,0,-38.46666667,146.5666667,"","","3","VIC","","Tarra Valley Park.","","","","","",11,11,1959,"","",5,"","","1","","","","","","","23/2/05","CFR","H","","","","Healey, K.","","MEL 2140997","","",7,903,"","",NA
"23361",40357,534,37,28,57,145,49,57,-37.4825,145.8325,"","LLG","2","VIC","","Marysville. The Beeches, Lady Talbot Drive. Whitehouse Creek.","Myrtle beech forest","Stump","","","",15,8,2004,"","",42,"N","N","1","","","","","","","18/7/08","GP","S","","","","","","","","",NA,178,"","",0
"49788",1207058,909,35,36,0,138,14,28,-35.6,138.2411111,"","DES","2","SA","","Fleurieu Peninsula. Deep Creek Conservation Park. Stringybark Trail","","","","","",27,5,2006,"","27/v",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"29362",48116,4,35,16,53,149,4,49,-35.28138889,149.0802778,"593","LLG","1","ACT","","Glenloch.","Cork oak plantation.","Soil","","","Cork oak",10,6,2010,"","",8,"N","N","2","GP","23/6/10","","4","004mfb02","","6/12/10","WC","S","","","Recorder estimates that there were five thousand to nine thousand fruiting bodies in the 8ha plantation.","","","","","",NA,1293,"","",0
"60360",1220919,95,31,52,11,115,54,23,-31.86972222,115.9063889,"","LLG","1","WA","","Lightning Swamp Bushland, Noranda","Banksia, Jarrah, Marri & Melaleuca preissiana woodland with Melaleuca preissiana woodland on northern edge  ","Growing on dead Jacksonia wood.","","","",27,7,2014,"","",1,"","","","","","","","","","13/3/19","GP","S","","","","","","","","",NA,1162,"","",0
"11748",24170,18,34,40,32,150,17,47,-34.67555556,150.2963889,"620","AMG","1","NSW","","Morton National Park, Bundanoon.  Echo point road just before second track to Coal mine.","Open woodland, E. sclerophylla, Hakea, Acacia spp.","In leaf litter.","","","",16,2,2001,"","",11,"N","N","1","","","0","0","","","9/3/04","WC","S","","","","","","","","",NA,46,"","",NA
"46006",1208231,234,35,22,0,138,32,0,-35.36666667,138.5333333,"","LLG","2","SA","","Fleurieu Peninsula. Stipiturus Conservation Park, Glenshera Swamp","","","","","",19,6,2010,"","19/vi",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"57016",1217887,442,37,40,41,145,44,20,-37.67805556,145.7388889,"760","LLG","2","VIC","","Warburton, Acheron Way, Acheron Gap, downstream of crpk","Cool temperate rainforest dominated by Nothofagus, (some Mt Ash )","","","","",25,3,2004,"","",1,"","","","","","","","","","25/10/17","GP","S","","","Tom May id'd, very common","","","","","",NA,904,"","",0
"2914",2646,71,37,53,9,145,57,55,-37.88583333,145.9652778,"","LLM","","VIC","","Central Highlands, Noojee: Camp Creek Rd, 1.9km N Noojee - Powelltown Rd intersection","Mountain Ash (Euc regnans) forest - regenerated from coupe logged 1995, burnt 1996","black burnt soil, probably arising from buried wood","","","",28,7,1996,"","MCM0174",5,"N","","1","","","","","","","4/2/99","PG","S","","","1997 Honours project, La Trobe University, School of Botany, site CC96","","","","","",1,174,"","",NA
"20512",37233,6,35,2,10,138,35,16,-35.03611111,138.5877778,"180","LLG","1","SA","","Sturt Gorge CP, Adelaide","Steep gorge, Eucalyptus microcarpa scattered","In soil","","","",3,7,2006,"","",39,"","","1","","","","","","","12/2/07","gl","S","","","","","","","","",NA,49,"","",0
"51289",1211337,6,37,51,38,142,1,34,-37.86055556,142.0261111,"","LLG","1","VIC","","Mt Napier State Park, Nr Murroa Corner","Forest, dominated by Eucalyptus viminalis and Acacia melanoxylon","volcanic loam soil","","","",27,6,2015,"","",32,"","","1","","","","","","","15/4/16","GP","S","","","","","","","","",NA,187,"","",0
"43802",120629,2157,37,55,0,145,42,0,-37.91666667,145.7,"","DES","2","VIC","","Sth Blue Range, Loyola","","dead standing, coppice regrowth","Eucalyptus","polyanthemos","",1,7,1953,"","",1,"","","1","","","","","","","1/5/15","GP","S","","","CSIRO Division of Forest Products Fungi Herbarium accession number #3632 (specimen not present or not retained when moved to MEL in 2000). Data from accession book held at RBG Melbourne.","Wylie, J.B.","Walters, N.E.M.","","","",NA,1586,"","",0
"59125",1219649,1512,30,34,12,152,39,36,-30.57,152.66,"","GOO","2","NSW","","Upper Nambucca Valley, North Arm, private property.","Within subtropical rainforest with Argyrodendron actinophyllum (Black Booyong), Sloanea woollsii  (Yellow Carabeen).","Fallen hardwood branch, probably Argyrodendron actinophyllum.","? Argyrodendron","actinophyllum","Black Booyong",8,3,2017,"","",2,"","","2","TM","","","7","Phillipsia subpurpurea location, Phillipsia_subpur","","18/7/18","WC","S","","","","","","","","",NA,2031,"","",0
"32737",51881,6,35,56,48,136,44,16,-35.94666667,136.7377778,"40","LLG","1","SA","","Flinders Chase NP, Rocky River, Kangaroo Island","Eucalypt woodland","soil","","","",6,7,2007,"","",40,"","","2","","","","","","","30/5/12","GL","S","","","","","","","","",NA,49,"","",0
"49916",1207150,170,35,13,30,139,7,0,-35.225,139.1166667,"55","LLG","2","SA","","Ferries-McDonald Conservation Park, about 18 km south-west of Murray Bridge","","","","","",11,6,2006,"","11/vi",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"38935",61793,315,37,43,45,140,37,59,-37.72916667,140.6330556,"80","LLG","1","SA","","Honans Scrub Reserve, near Mount Gambier","Eucalyptus baxteri, E. viminalis, E. ovata, E. willisii woodland","in soil","","","",6,6,2011,"","",48,"","N","","","","","","","","11/2/14","WC","","","","","","","","","",NA,49,"","",NA
"21280",39051,277,34,35,33,150,35,45,-34.5925,150.5958333,"700","DES","2","NSW","","Robertson Rainforest Reserve, South St. Robertson","","Ground, leaf litter","","","",11,4,2007,"","",2,"N","N","1","","","","","","","13/8/07","GP","S","","","","","","","","",NA,22,"","",0
"35306",54256,256,38,41,51,143,22,10,-38.6975,143.3694444,"","","2","Vic","","Greater Otway National Park, Melba Gully.","Cool temperate rainforest dominated by Nothofagus cunninghamii.  Around the base of a eucalypt.","In soil.","","","",30,4,2011,"","",93,"","","1","","","","","","","4/1/13","WC","S","","","","","","","","",NA,178,"","",NA
"56981",1217583,502,37,21,38,144,31,27,-37.36055556,144.5241667,"600","DES","3","VIC","","Woodend","Lawn with pines and native trees","","","","",12,5,2017,"","",1,"Y","N","3","TM","2/6/17","","7","image2 (2)","153","8/9/17","GP","S","","","","","","","","",NA,2001,"","",0
"50719",1209659,315,37,28,45,144,17,24,-37.47916667,144.29,"","LLG","2","VIC","","Blackwood, Jack Cann Reserve, Great Dividing Trail","Eucalypt open forest with Narrow-leaved peppermint, Manna gum and Messmate. Understorey of various wattles including Blackwood, Banksia and peas. ","Litter","","","",17,5,2015,"","",150,"","","1","","","","","","","15/1/16","GP","S","","","","","","","","",NA,178,"","",0
"14358",29750,329,33,50,0,151,15,0,-33.83333333,151.25,"","LLM","2","NSW","","Bradley's Head","","","","","",13,4,1991,"","",12,"","","1","","","","","","","10/2/05","GP","S","","","","","","","","",7,297,"","",NA
"42198",64665,1417,26,36,24,153,3,0,-26.60666667,153.05,"5","LLU","2","QLD","","Maroochy wetlands reserve","","","","","",6,7,2013,"","",3,"","","1","","","","","","","28/10/14","WC","S","","","Collected by Susan Nelles","","","","","",NA,1287,"","",NA
"42829",71078,462,37,59,12,146,22,0,-37.98657,146.36662,"","LLG","1","VIC","","Gravel Dump near Erica: 0.4255km along the track from the parking lot","","","","","",26,5,2013,"","",1,"","","","","","","","","","18/3/15","AB","SS","","","","","","","","",NA,202,"","",0
"31808",51721,301,32,53,30,151,42,0,-32.89166667,151.7,"30","LLI","2","NSW","","University of Newcastle, Callaghan Campus","","","","","",30,5,2010,"","",1,"","","2","TM","17/11/10","","","301ghe01","","11/4/12","WC","S","","","","","","","","",NA,1442,"","",0
"30461",49425,762,38,40,0,143,29,0,-38.66666667,143.4833333,"","LLG","2","VIC","","Greater Otway NP. Triplet Falls","Cool temperate rainforest dominated by Nothofagus cunninghamii","Ground","","","",2,5,2010,"","",90,"N","N","1","","","","","","","18/4/11","GP","S","","","","","","","","",NA,178,"","",0
"13720",26206,4,38,13,58,145,1,49,-38.23277778,145.0302778,"","LLG","1","VIC","","Mornington: Adelaide Reserve, Adelaide Street","Under pines","","","","",30,6,2002,"","",8,"N","N","1","","","","","","","20/5/04","GP","S","","","","","","","","",NA,185,"","",NA
"58114",1218518,621,37,56,46,145,7,53,-37.94611111,145.1313889,"","MEL","2","VIC","","The Grange, Clayton","Remnant bushland","Soil","","","",5,7,2017,"","",36,"","","","","","","","","","12/1/18","GP","S","","","","","","","","",NA,760,"","",0
"41612",63979,6,35,59,34,145,50,24,-35.99277778,145.84,"","LLU","2","VIC","","Burramine, Dufty State Forest, near Dufty's Track.  Closest entrance to Dufty's Lane.","Red gum forest.","","","","",11,5,2014,"","",1,"N","N","2","TM","14/5/14","0","7","006ct01, 006ct02","","2/9/14","WC","S","","","","","","","","",NA,1614,"","",0
"48801",1206808,290,34,38,30,135,23,0,-34.64166667,135.3833333,"39","LLG","3","SA","","Eyre Peninsula. Coffin Bay NP","","","","","",4,8,2005,"","4/viii",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"21405",38115,290,35,5,57,117,37,53,-35.09905556,117.6314444,"","LLG","1","WA","","Torbay: West Cape Howe NP, Bibbulmun Track east of Hortins Rd","Gastrolobium cuneatum","","","","",19,8,2006,"","",15,"","","1","","","","","","","27/4/07","gl","S","","","","","","","","",NA,78,"","",0
"18429",34743,71,37,40,40,148,46,43,-37.67777778,148.7786111,"160","LLG","1","VIC","","East Gippsland, approx 1 km west of turnoff to Bemm River township","Burnt eucalypt forest","","","","",1,10,2004,"","",35,"N","N","1","","","","","","","6/1/06","GP","S","","","","","","","","",NA,86,"","",0
"28236",45919,73,41,29,NA,146,13,NA,-41.48333333,146.2166667,"","LLG","3","TAS","","Mt Roland","eucalypt forest","soil","","","",4,12,2005,"","",19,"","","2","","","","","","","28/6/10","GE","S","","","","","","","","",NA,640,"","",0
"5640",7625,38,37,36,46,142,20,15,-37.61277778,142.3375,"230","LLG","1","VIC","","4km N of Dunkeld: Cooks Road, 1km E of Victoria Valley Road","Heathy woodland","in leaf letter on sandy soil","","","",28,6,2000,"","",14,"N","N","1","","","","","","","21/1/02","GA","S","","","Near dead burned log","","","","","",1,187,"","",NA
"130",1217523,2374,37,21,26,145,45,9,-37.35722222,145.7525,"318","LLG","2","VIC","","Cathedral Range, ‘Hygrocybe Hill’","Red Stringybark/ Broad-leaved Peppermint/Long leaved Box Open Forest","","","","",13,8,2017,"","",182,"","","","","","","","","","24/8/17","GP","S","","","","","","","","",NA,178,"","",0
"38306",60138,1192,41,37,36,145,4,40,-41.62666667,145.0777778,"25","","","TAS","","Savage River Bridge - western side, start of the Mt Donaldson Track","Nothofagus cunninghamii rainforest, sassafras, almost no ground layer/ understory","Wood","","","",3,5,2012,"","FM-TARK2012-54",4,"","","","","","","","","","13/1/14","","","","","","","Lebel, T","","","",NA,1570,"","",NA
"7559",8769,17,38,19,56,143,35,18,-38.33222222,143.5883333,"130","LLG","","VIC","K16","Colac: southern edge of Lake Colac","","in lawn","","","",11,8,2001,"","",29,"N","N","1","","","0","0","","","3/4/02","GA","S","","","","","","","","",1,86,"","",NA
"48720",1205853,549,30,33,0,138,35,0,-30.55,138.5833333,"565","LLG","3","SA","","WILPENA POUND","","","","","",26,6,2002,"","26/vi",49,"N","n","No","","","","","","","4/12/15","GP","S","","","","","","","","",NA,49,"","",0
"17935",33940,75,41,8,35,146,37,20,-41.14305556,146.6222222,"40","LLG","2","TAS","","Narawntapu NP","coastal area dominated by Acacia sophorae & Bursaria spinosa","sandy soil","","","",13,5,2004,"","",15,"","","1","","","","","","","22/12/05","gl","S","","","","","","","","",NA,640,"","",0
"49210",1206832,234,35,22,0,138,32,0,-35.36666667,138.5333333,"","LLG","2","SA","","Fleurieu Peninsula, Glenshera Swamp","","","","","",30,7,2005,"","30/vii",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"39451",61590,59,37,54,21,145,8,25,-37.90583333,145.1402778,"","MEL","2","VIC","","Notting Hill, Blackburn Road, about 60m north of intersection with Normanby Road.","Grass beside footpath.","Grass","","","",24,9,2013,"","",41,"N","N","1","","","0","","","","28/1/14","WC","S","","","","","","","","",NA,169,"","",0
"15075",29782,298,35,8,8,150,42,2,-35.1356,150.7006,"","LLM","2","NSW","","Jervis Bay","","","","","",8,5,1994,"","",12,"","","1","","","","","","","10/2/05","GP","S","","","","","","","","",7,297,"","",NA
"20539",37260,75,35,54,22,136,54,35,-35.90611111,136.9097222,"120","LLG","1","SA","","Gosselands, Flinders Chase NP, Kangaroo Island","Sandy soil, mixed heath with Eucalyptus cosmophylla","On wood","Eucalyptus","cosmophylla","",22,7,2006,"","",39,"","","1","","","","","","","12/2/07","gl","S","","","","","","","","",NA,49,"","",0
"54979",1214895,68,37,45,1,147,3,39,-37.75027778,147.0608333,"","LLG","2","VIC","","Briagolong area, private property","Partly cleared Eucalypt forest","Wood","","","",12,6,2016,"","",30,"","","","","","","","","","5/12/16","GP","S","","","","","","","","",NA,760,"","",0
"25391",43319,420,37,59,6,145,35,41,-37.985,145.5947222,"","LLG","2","VIC","","Bunyip State Park. Mortimer Picnic Ground","Wet sclerophyll forest with mountain grey gum, Eucalyptus cypellocarpa","Dead wood","","","",10,5,2009,"","",75,"N","N","1","","","","","","","9/12/09","GP","S","","","","","","","","",NA,178,"","",0
"1194",539,10,35,2,25,116,55,5,-35.04027778,116.9180556,"0","LLG","1","WA","","Peaceful Bay, west of Denmark: Rame Head Rd","Garden, under native cypress","sand","","","",2,7,2000,"","SOW0555",1,"N","","1","","","","","","","27/7/00","LM","S","","","Several lots in area.","","","","","",1,555,"","",NA
"1821",1562,32,37,8,45,144,27,10,-37.14583333,144.4527778,"","LLU","","VIC","","Metcalfe East: Goldfields Road","Stringybark / Box forest, Acacia spp.","in ground","","","",10,6,1993,"","HOU0019",8,"N","","1","","","","","","","12/9/00","BA","S","","","","","","","","",3,19,"","",NA
"11993",16782,228,35,56,23,140,15,36,-35.93972222,140.26,"60","LLG","1","SA","","Mount Rescue CP, near Tintinara","In sandy heath, under eucalypts","On soil","","","",15,7,2003,"","",27,"","","1","","","","","","","2/12/03","CFR","S","","","","","","","","",4,49,"","",NA
"27022",45222,66,41,23,42,146,48,23,-41.395,146.8063889,"390","LLG","2","TAS","","Black Sugarloaf (new track)","closed wet forest, eucalypts: Acacia melanoxylon, Pomaderris apetala","rotting log","","","",11,7,2008,"","",20,"","","2","","","","","","","17/5/10","GL","S","","","","","","","","",NA,640,"","",0
"52642",1212364,318,38,16,58,146,0,28,-38.28277778,146.0077778,"","LLG","2","VIC","","Mt Worth State Park. Moonlight Creek area, car park and track to Giants Circuit","Tall wet forest of Mountain Ash Eucalyptus regnans, Hazel Pomaderris aspera, Blackwood Acacia melanoxylon and Silver Wattle Acacia dealbata and numerous Tree-ferns","litter","","","",29,5,2016,"","",165,"","","","","","","","","","10/6/16","GP","S","","","","","","","","",NA,178,"","",0
"51230",1211137,1010,37,14,15,144,29,56,-37.2375,144.4988889,"","GOO","2","VIC","","Kyneton, Bald Hill Reserve, off Baynton Sidonia Road east of Kyneton","Manna Gum woodland graduating to Peppermint","On soil in litter","","","",21,6,2015,"","",2,"Y","","2","TM","5/2/16","","7","Cortinarius austrovenetus BALD HILL 3 150621.JPG","","16/3/16","GP","S","","","","","","","","",NA,177,"","",0
"11886",16585,307,43,13,36,146,54,28,-43.22666667,146.9077778,"","AMG","2","TAS","","Geeveston area, Penny Road, 375m direct line SW of junction with Hermons Road","Eucalyptus delegatensis over rainforest understorey (Nothofagus cunninghamii, Atherosperma moschatum, Pittosporum bicolor)","","","","",1,5,1995,"","",9,"","","1","","","","","","","14/11/03","CFR","S","","","Macrofungal Community Ecology Plot R11, most surveys carried out by Jill Weller","","","","","",4,9,"","",NA
"32779",52881,459,37,59,6,145,35,41,-37.985,145.5947222,"","LLG","2","VIC","","Bunyip State Park. Mortimer picnic ground and nature trail","Wet sclerophyll forest. Mountain grey gum Eucalyptus cypellocarpa","Living tree","Eucalyptus","","Manna gum",12,6,2011,"","",101,"N","N","1","","","","","","","16/8/12","GP","S","","","","","","","","",NA,178,"","",0
"35434",54329,436,38,40,13,143,29,41,-38.67027778,143.4947222,"330","DES","2","Vic","","Greater Otway National Park, Triplet Falls.","Cool temperate rainforest dominated by Nothofagus cunninghamii.","Wood.","","","",1,5,2011,"","",93,"","","1","","","","","","","4/1/13","WC","S","","","Seen throughout the walk.","","","","","",NA,178,"","",NA
"39552",61692,609,35,27,17,138,36,25,-35.45472222,138.6069444,"170","LLG","1","SA","","Uppills private property near Myponga","Eucalyptus obliqua woodland","in soil under eucalypt","","","",28,5,2011,"","",48,"","N","","","","","","","","11/2/14","WC","","","","","","","","","",NA,49,"","",NA
"7198",8087,74,34,46,0,138,47,0,-34.76666667,138.7833333,"","LLH","","SA","","Adelaide: Waterfall Gully","","","","","",0,10,1952,"","",20,"N","N","1","","","","","","","26/2/02","GA","","H","","","P.M. South","","ADW 3098","","",NA,49,"","",NA
"54473",1214241,1040,41,23,42,146,48,23,-41.395,146.8063889,"","LLG","2","TAS","","Birralee, Black Sugarloaf","Eucalypt forest","","","","",9,5,2014,"","",29,"Y","","1","","","","7","physarum viride","","10/10/16","GP","S","","","","","","","","",NA,640,"","",0
"26743",44253,10,34,17,22,115,9,22,-34.28944444,115.1561111,"","LLG","2","WA","","West Bay Bushland","Growing amongst litter in jarrah/peppermint woodland.","","","","",17,6,2007,"","",4,"","","1","","","","","","","15/2/10","GL","S","","","","","","","","",NA,1129,"","",0
"57451",1217943,2347,NA,NA,NA,NA,NA,NA,-41.683044,146.782043,"400","LLG","2","TAS","","Liffey Falls Reserve - Parks & Wildlife Walking track","Rainforest, Nothofagus cunninghamii ","","","","",18,5,2016,"","",6,"","","","","","","","","","8/12/17","GP","S","","","Det: Tom May","","","","","",NA,1570,"","",0
"16851",32694,58,34,26,10,115,52,0,-34.43611111,115.8666667,"","LLG","1","WA","","Anzac Road, Flybrook Forest Block","Unburnt 25 year old Eucalyptus diversicolor regrowth forest","Soil","","","",31,6,1999,"","",1,"","","1","","","","","","","30/11/05","gl","S","","","3 fruit bodies, compiled by Verna Tunsell","","","","","",NA,720,"","",0
"35507",54455,62,36,43,24,142,10,33,-36.72333333,142.1758333,"115","LLG","1","VIC","","Horsham, 139 Natimuk Road.","Suburban garden with silver birch.","On soil, amongst new cottage mulch.","","","",25,8,2012,"","",1,"N","N","2","GP","30/8/12","0","4","062sbm01","","22/1/13","WC","S","","","First sighting, current troop of four.","","","","","",NA,1514,"","",0
"11692",16865,90,36,56,0,149,56,0,-36.93333333,149.9333333,"","LLM","2","NSW","","Haycock Point","","","","","",14,7,2003,"","",2,"N","N","1","","","0","0","","","11/12/03","GL","S","","","","","","","","",NA,760,"","",NA
"7486",8660,54,39,54,45,144,5,10,-39.9125,144.0861111,"50","LLG","1","TAS","","King Island, Pegarah State Forest, 20 km E of Currie: Eagle Nest Track","","ground","","","",20,10,2001,"","",5,"N","N","1","","","","","","","20/3/02","GA","S","","","","","","","","",1,640,"","",NA
"5512",6565,74,37,44,3,145,13,59,-37.73416667,145.2330556,"","MEL","","VIC","N44","Warrandyte SP: Black Flat Reserve","Under Eucalyptus viminalis & E. melliodora, on bank of Yarra River","","","","",22,5,1996,"","FAL0132",2,"","","1","","","","","","","22/6/96","","S","","","","","","","","",2,132,"","",NA
"7731",8958,6,38,28,0,144,3,0,-38.46666667,144.05,"","LLM","2","VIC","","Angahook-Lorne State Park: Moggs Creek Picnic Area","open Ironbark forest / clearing; near base of ironbark","in soil","","","",10,8,2001,"","",3,"N","N","2","TM","29/5/02","","1","006pg03","","29/5/02","GA","S","","","","","","","","",1,707,"","",NA
"33226",52056,10,36,11,1,150,4,1,-36.18361111,150.0669444,"","LLG","1","NSW","","Cowdroy Creek Rainforest","Littoral Rainforest","Tall Eucalypt","","","",19,4,2008,"","",23,"","","2","","","","","","","30/5/12","GL","S","","","Regular","","","","","",NA,534,"","",NA
"29808",49474,301,38,25,20,144,57,33,-38.42222222,144.9591667,"","LLG","2","VIC","","Mornington Peninsula NP. Greens Bush, Baldry Crossing","Heathy eucalypt forest with Eucalyptus radiata, E. obliqua and E. viminalis, Pomaderris, Olearia lirata.","","","","",25,4,2010,"","",91,"N","N","1","","","","","","","28/4/11","GP","S","","","","","","","","",NA,178,"","",0
"18670",37188,12,28,48,32,153,17,34,-28.80888889,153.2927778,"","LLG","1","NSW","","Lt Uralba St, Lismore","Mulched garden","soil","","","",31,7,2006,"","",24,"","","1","","","","","","","15/1/07","GL","S","","","About 20 fruiting bodies seen in 10 days","","","","","",NA,187,"","",0
"20453",37122,37,34,52,5,138,54,20,-34.86805556,138.9055556,"","LLG","1","SA","20","Porter Scrub","Remnant Eucalyptus obliqua scrubland","Soil","","","",17,6,2006,"","",23,"","","1","","","","","","","15/1/07","gl","S","","","","","","","","",NA,698,"","",0
"45592",1208820,474,35,0,30,138,39,0,-35.00833333,138.65,"","LLG","2","SA","","BELAIR NATIONAL PARK","","","","","",15,6,2014,"","15/vi",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"59200",1219724,232,37,46,38,145,35,8,-37.77722222,145.5855556,"","DES","2","VIC","","Launching Place, Wanderslore Sanctuary","A dry ridge with stream gullies on the eastern and western sides. Vegetation includes Kunzea, a variety of eucalypts, and tree ferns.","","","","",1,7,2018,"","",184,"","","","","","","","","","15/8/18","GP","S","","","","","","","","",NA,178,"","",0
"30217",49358,58,38,41,51,143,22,10,-38.6975,143.3694444,"","LLG","2","VIC","","Greater Otway NP. Melba Gully","Cool temperate rainforest dominated by Nothofagus cunninghamii","Wood, litter","","","",1,5,2010,"","",90,"N","N","1","","","","","","","18/4/11","GP","S","","","","","","","","",NA,178,"","",0
"21432",38147,408,35,6,4,117,37,40,-35.10125,117.6278333,"","LLG","1","WA","","Torbay: West Cape Howe NP, Bibbulmun Track west of Hortins Rd","Melaleuca sp.","","","","",19,8,2006,"","",15,"","","1","","","","","","","27/4/07","gl","S","","","","","","","","",NA,78,"","",0
"4774",5325,15,33,55,6,120,0,48,-33.9183,120.0133,"","LLH","3","WA","","East Mount Barren","","","","","",0,8,1924,"","TON0282",8,"","","","N","","","","","","12/5/00","JET","","HE","L","Det: 8/1/1998","A. Johnson","","UWA 816, ? Dup PERTH","Hilton (1982)","",NA,282,"","",NA
"51959",1211671,27,NA,NA,NA,NA,NA,NA,-37.83337,144.9774,"32","LLG","1","VIC","","Melbourne, between Birdwood Avenue and Domain Road","","","","","",7,4,2015,"","",26,"N","","1","","","","","","","29/4/16","GP","S","","","","","","","","",NA,174,"","",0
"5763",5998,4,37,19,23,145,42,28,-37.32305556,145.7077778,"","DES","","VIC","","Taggerty: small enclosed area in village","Under old Pinus radiata","","","","",25,7,1998,"","ROB0025",6,"N","","1","","","","","","","20/11/98","","S","","","many specimens, large.","","","","","",3,25,"","",NA
"26866",44440,93,38,17,30,145,59,0,-38.29166667,145.9833333,"","DES","2","VIC","","Mt Worth State Park, Track 12.","","","","","",8,7,2001,"","",14,"N","N","1","","","","","","","23/3/10","WC","S","","","","","","","","",NA,20,"","",0
"53432",1213164,2223,37,49,31,145,24,31,-37.82527778,145.4086111,"","LLG","2","VIC","","Dandenong Ranges NP. Area below the overflow car park ","","Moss, mossy trunk of tree","","","",3,7,2016,"","",170,"","","","","","","","","","22/7/16","GP","S","","","","","","","","",NA,178,"","",0
"50171",1210507,965,37,57,18,145,32,56,-37.955,145.5488889,"","DES","2","VIC","","Gembrook Park, along the creek","","wood","","","Silver wattle",26,7,2015,"","",160,"","","2","","","","7","D fasHartland, Deflex fas TvS, D fasc2TvS","","12/2/16","GP","S","","","","","","","","",NA,178,"","",0
"19944",36570,95,31,41,56,115,42,28,-31.69888056,115.7077778,"","LLG","1","WA","","Perth. Mindarie","Located on dead wood. Forest.","dead wood","","","",19,6,2005,"","",2,"","","1","","","","","","","27/11/06","GP","S","","","","","","","","",NA,1129,"","",0
"58964",1219488,920,37,35,30,145,38,35,-37.59166667,145.6430556,"","DES","2","VIC","","Yarra Ranges National Park, Dom Dom Saddle Picnic Area","","","","","",29,4,2018,"","",183,"","","","","","","","","","18/7/18","GP","S","","","","","","","","",NA,178,"","",0
"3586",3391,81,30,49,0,121,21,0,-30.8167,121.35,"","LLH","","WA","","?Kurrawang, c15km SW Kalgoorlie","","","","","",0,0,1918,"","BEL0278",1,"N","","1","","","","","","","16/4/99","PG","","H","","","J.B. Cleland","","AD 5722","","",NA,278,"","",NA
"27843",45602,309,41,3,0,145,1,0,-41.05,145.0166667,"","LLG","3","TAS","","Roger River Reserve.","","","","","",28,5,2008,"","",63,"N","N","1","","","","","","","1/6/10","WC","S","","","","","","","","",NA,922,"","",0
"56960",1217418,341,37,22,44,144,36,43,-37.37888889,144.6119444,"907","LLG","2","VIC","","Macedon Ranges NP, Car park & Circuit Trail towards Sanatorium Lake","Wet messmate/gum forest; introduced species [pine, poplar, Ilex (holly) & others]; understorey: musk daisy bush (Olearia argophylla), ferns in wetter gullies","wood, fallen rotting logs","","","",30,7,2017,"","",181,"Y","","No","","","","7","MS1 Psath ech Cpage","","11/8/17","GP","S","","","","","","","","",NA,178,"","",0
"211",1217119,1038,34,59,0,138,42,0,-34.98333333,138.7,"","LLG","2","SA","","Mount Lofty Botanic Garden","","","","","",14,5,2016,"","",45,"","","","","","","","","","4/8/17","GP","S","","","","","","","","",NA,698,"","",0
